Codes,Description
A00.0,"   Cholera due to Vibrio cholerae 01, biovar cholerae"
A00.1,"   Cholera due to Vibrio cholerae 01, biovar eltor"
A00.9,"   Cholera, unspecified"
A01.00,"  Typhoid fever, unspecified"
A01.01,  Typhoid meningitis
A01.02,  Typhoid fever with heart involvement
A01.03,  Typhoid pneumonia
A01.04,  Typhoid arthritis
A01.05,  Typhoid osteomyelitis
A01.09,  Typhoid fever with other complications
A01.1,   Paratyphoid fever A
A01.2,   Paratyphoid fever B
A01.3,   Paratyphoid fever C
A01.4,"   Paratyphoid fever, unspecified"
A02.0,   Salmonella enteritis
A02.1,   Salmonella sepsis
A02.20,"  Localized salmonella infection, unspecified"
A02.21,  Salmonella meningitis
A02.22,  Salmonella pneumonia
A02.23,  Salmonella arthritis
A02.24,  Salmonella osteomyelitis
A02.25,  Salmonella pyelonephritis
A02.29,  Salmonella with other localized infection
A02.8,   Other specified salmonella infections
A02.9,"   Salmonella infection, unspecified"
A03.0,   Shigellosis due to Shigella dysenteriae
A03.1,   Shigellosis due to Shigella flexneri
A03.2,   Shigellosis due to Shigella boydii
A03.3,   Shigellosis due to Shigella sonnei
A03.8,   Other shigellosis
A03.9,"   Shigellosis, unspecified"
A04.0,   Enteropathogenic Escherichia coli infection
A04.1,   Enterotoxigenic Escherichia coli infection
A04.2,   Enteroinvasive Escherichia coli infection
A04.3,   Enterohemorrhagic Escherichia coli infection
A04.4,   Other intestinal Escherichia coli infections
A04.5,   Campylobacter enteritis
A04.6,   Enteritis due to Yersinia enterocolitica
A04.71,"  Enterocolitis due to Clostridium difficile, recurrent"
A04.72,"  Enterocolitis due to Clostridium difficile, not specified as recurrent"
A04.8,   Other specified bacterial intestinal infections
A04.9,"   Bacterial intestinal infection, unspecified"
A05.0,   Foodborne staphylococcal intoxication
A05.1,   Botulism food poisoning
A05.2,   Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A05.3,   Foodborne Vibrio parahaemolyticus intoxication
A05.4,   Foodborne Bacillus cereus intoxication
A05.5,   Foodborne Vibrio vulnificus intoxication
A05.8,   Other specified bacterial foodborne intoxications
A05.9,"   Bacterial foodborne intoxication, unspecified"
A06.0,   Acute amebic dysentery
A06.1,   Chronic intestinal amebiasis
A06.2,   Amebic nondysenteric colitis
A06.3,   Ameboma of intestine
A06.4,   Amebic liver abscess
A06.5,   Amebic lung abscess
A06.6,   Amebic brain abscess
A06.7,   Cutaneous amebiasis
A06.81,  Amebic cystitis
A06.82,  Other amebic genitourinary infections
A06.89,  Other amebic infections
A06.9,"   Amebiasis, unspecified"
