policy_id,policy_uuid,hcpcs_codes,icd_10_codes,original_text_length,cleaned_text_length,text_reduction
fffed90d-e90e-4454-9e4c-3f462ec2011c,fffed90d-e90e-4454-9e4c-3f462ec2011c,J3031,,17788,17394,394
fffea6c5-c715-4dc5-9ed8-6bd171fe37a5,fffea6c5-c715-4dc5-9ed8-6bd171fe37a5,99472|87389|99468|99471|99476|99469|99475|86703|99211|86701|99291|86702|99292,,38021,36281,1740
fffdc557-54e1-4204-b6bf-96a619c118d0,fffdc557-54e1-4204-b6bf-96a619c118d0,81327|81479|81528|G0327|81599|0002U|0163U|0368U|G0328,Z12.11|Z12|Z12.12|Z12.10|Z12.13|Z12.2,21058,20432,626
fffcaafe-3744-4a7f-9d55-41055fbc300a,fffcaafe-3744-4a7f-9d55-41055fbc300a,J9999|J9358|C9399|J3590|J3490,C18.8|C78.01|C50.512|C77.2|C34.92|C34|C50.219|C50.321|C18|C19|C34.32|C16.6|C78.2|C50.129|C18.6|C16.4|C53.9|C79.31|C50.022|C50.229|C50.811|C53|C50.812|C50.011|C54.1|C50.221|C50.619|C77.4|C34.31|C50.511|C78.7|C50.519|C34.11|C54.9|C50.222|C50.912|C50.212|C50.422|C16.3|C16.9|C16.0|C16.5|C15.5|C34.00|C50.922|C53.1|C50.421|C34.30|C55|C50.111|C50.521|C16.8|C50.021|C18.9|C50.211|C34.90|C18.2|C50.911|C50.929|C54.3|C79|C50.419|C50.112|C34.81|C77.8|C50.122|C50.429|C50.919|C18.0|C34.01|C77.3|C50.629|C79.51|C21|C34.82|C50|C50.312|C34.2|Z85.3|Z17.0|C50.529|C54.2|C50.012|C15|C77.0|C50.821|C54|C34.12|C16.1|C78.39|C50.029|C77.5|C50.612|C18.1|C50.329|Z17|C18.4|C34.80|C50.522|C78.30|C77.1|C18.5|C78.1|C78.02|C50.319|C50.822|C50.921|C53.8|C15.3|C34.91|C21.8|C34.10|C16.2|C50.829|C78|C20|C50.019|C50.411|C54.0|C50.119|C50.121|C50.311|C54.8|C79.52|C78.00|C77.9|C50.622|C53.0|C50.412|C15.4|C77|C50.621|C15.8|C50.322|C34.02|C52|C16|C50.819|C79.32|C50.611|C15.9|C18.3|C18.7|Z85,21208,20281,927
fffc6c9e-0f4b-41d0-b56e-927586bee19f,fffc6c9e-0f4b-41d0-b56e-927586bee19f,J1745|J7510|J0717|J1700|J7512|J1040|J1438|J1100|J7501|J7509|71047|J2930|J9250|Q5109|J0702|Q5133|J1094|J3357|J9260|96365|J1030|J0135|J2920|J1620|J1020|Q5132|J2650|J3245|J9312|J0129|J8610|J9255|Q5131|J8612|J1720|J1602|J8611|96413|J7500|Q5135|80280|71048|71045|J8540|S0108|J3262|71046|J1710|J3380,T45.2X1D|T45.626A|T45.3X3A|K50.113|T45.3X5A|T45.0X3S|T45.0X6S|M47.891|K51.919|T45.521D|T45.8X5D|T45.2X6D|T45.616S|T45.95XD|K50.911|M47.893|K55.022|T45.626D|T45.3X3S|D89.9|T45.4X6D|T45.96XS|M47.10|T45.693S|K51.013|T45.2X2S|T45.621S|T45.3X4D|K50.111|T45.7X6A|K55|T45.3X1D|T45.524D|T45.0X4A|T45.2X6S|K50.919|T45.0X1A|T45.513S|M47.019|M47.22|T45.8X2D|K51.219|T45.0X2S|K51.214|T45.622A|K50.811|T45.624A|T45.624S|K55.052|T45.603D|T45.694A|T45.1X5D|T45.624D|T45.626S|M47.14|T45.8X4S|T45.511D|M47.15|M47.26|M47.813|M47.11|T45.511A|T45.AX5A|T45.8X5S|K51.818|T45.7X3S|T45.0X3D|T45.623D|K52.831|K51.319|K55.049|T45.525D|T45.AX2S|T45.605S|T45.515A|T45.611A|K51.518|K83|D89.813|T45.7X2A|K51.318|T45.AX6D|M47.13|T45.3X5D|T45.8X4D|T45.691S|T45.2X1A|T45.AX5D|T45.513A|T45.601D|M47.20|T45.4X2S|T45.93XD|T45.695A|T45.8X1S|T45.604S|T45.522S|T45.625D|M47.892|T45.7X4D|T45.91XS|T45.7X4A|T45.4X4S|T45.613S|T45.8X6S|T45.524A|K50.812|K51.212|T45.616D|T45.94XA|T45.0X5A|K50.112|T45.512D|D89.812|K50.918|T45.7X2D|T45.1X5A|K50.114|K51.511|T45.0X2D|K51.513|K50.818|T45.693A|T45.3X5S|K51.80|K51.813|T45.7X1S|K50.018|K55.042|K50.118|K51.918|T45.95XA|T45.1X3S|K51.019|C23GMZZ|T45.AX1S|K50.014|M47.013|M47.895|T45.605D|K51.411|M47.015|T45.2X5A|T45.AX5S|T45.1X4S|C23GYZZ|T45.606S|M47.811|T45.93XS|K50.80|T45.2X4A|T45.616A|T45.1X1A|T45.1X2S|T45.94XD|T45.516D|K52.89|T45.512S|K51.311|K52|K51.519|K55.021|T45.AX3D|T45.4X3D|T45.696D|T45.692A|T45.91XA|T45.3X2D|T45.513D|T45.0X1D|T45.614S|T45.8X2A|K51|K55.029|K51.011|K50.814|T45.0X5D|T45.4X3S|T45.512A|T45.2X5S|T45.526S|T45.4X5D|T45.3X2A|T45.3X4A|T45.2X2A|M47.012|T45.611S|T45.602S|M47.894|C23GQZZ|T45.7X1D|T45.615D|T45.92XA|T45.4X6A|T45.92XS|T45.3X6A|T45.4X6S|T45.1X3A|T45.625S|T45.691D|K51.012|C23.|C23|T45.621D|T45.94XS|T45.4X2D|K51.50|T45.0X5S|T45.606A|T45.695D|M47.815|T45.613A|T45.515S|K51.814|K50.013|T45.511S|T45.AX2D|T45.3X1A|K51.014|T45.7X5S|T45.605A|M47.817|T45.7X6S|T45.AX4S|K51.414|M47.014|K51.90|M47.21|T45.1X6A|T45.516S|T45.693D|T45.603A|T45.523S|T45.0X4D|K51.30|K51.018|C23GKZZ|T45.614A|T45.3X2S|T45.4X5A|M47.23|K55.041|M47.029|T45.603S|K50.012|T45.514D|T45.8X3A|K51.314|K50.019|T45.2X3S|M47.24|T45.93XA|T45.7X1A|T45.621A|T45.AX6S|T45.3X1S|T45.516A|T45.622D|T45.526A|K51.312|M47.816|M47.16|T45.0X3A|T45.96XD|C23YYZZ|K55.059|T45.4X4D|C23GRZZ|M47.818|T45.8X1A|T45.514S|T45.3X4S|T45.1X2D|K51.313|T45.604D|K51.419|T45.523A|K55.061|T45.2X1S|T45.696S|T45.525A|M47.896|K51.413|T45.2X2D|T45.622S|T45.2X3D|T45.614D|T45.4X1D|T45.611D|T45.602D|T45.AX4D|M47.011|T45.1X1D|M47.819|T45.95XS|T45.0X6A|K51.911|T45.615A|M47.814|T45.606D|T45.524S|K51.912|T45.1X4A|T45.1X6S|T45.8X3D|T45.4X4A|K50.119|K55.011|K51.914|T45.525S|K51.512|K51.00|K51.218|K55.069|T45.623A|M47.016|K55.051|T45.7X2S|K50.011|T45.1X2A|T45.696A|K55.032|K50.912|K50.90|K83.01|T45.92XD|T45.7X4S|T45.612A|K50.914|T45.7X6D|M47.27|K55.012|T45.602A|T45.AX3S|T45.2X4S|T45.4X5S|K55.019|K51.20|T45.515D|T45.AX4A|T45.2X6A|T45.612S|T45.613D|T45.1X6D|K51.40|K51.812|T45.96XA|T45.3X6S|T45.692D|T45.2X5D|T45.AX6A|T45.8X4A|T45.604A|D89.810|T45.0X6D|T45.7X3A|K50.819|T45.514A|M47.25|D89.811|T45.3X3D|T45.3X6D|T45.8X1D|M47.022|T45.1X4D|K51.811|T45.615S|M47.28|T45.AX1D|T45.625A|K51.418|K55.062|T45.8X2S|M47|T45.AX1A|T45.691A|T45.694S|T45.612D|T45.AX3A|T45.4X3A|T45.4X2A|T45.1X3D|T45.0X1S|K51.913|K51.412|T45.1X1S|T45.8X6A|T45.692S|K55.039|T45.7X5D|T45.601S|T45.521S|T45.8X3S|T45.AX2A|K51.211|K50.00|D89|T45.526D|T45.522A|K51.514|M47.12|T45.7X5A|T45.601A|T45.521A|M47.812|T45.0X4S|T45.4X1A|K50.913|T45|K51.819|K55.031|K50|K51.213|T45.523D|T45.91XD|T45.695S|T45.8X5A|T45.4X1S|T45.2X3A|T45.0X2A|K50.10|T45.694D|T45.8X6D|T45.623S|T45.1X5S|M47.021|T45.7X3D|T45.2X4D|K50.813|K52.1|T45.522D,76287,73770,2517
fffc2606-96ca-41a9-8d6e-166b2e61bf1e,fffc2606-96ca-41a9-8d6e-166b2e61bf1e,21199|S2080|E0561|D7950|21195|0088T|95810|21194|95808|42145|S8040|21196|21206|95806|21685|21198|E0562|92700|95811|95999|92520|0089T|21193|95803|0203T|0204T|E0601,,23762,22410,1352
fffb2609-41dd-41ed-a76a-984e5e259a0d,fffb2609-41dd-41ed-a76a-984e5e259a0d,67900|67916|67903|67912|67917|67906|15820|15823|67909|15822|67902|67923|67924|15821|67911|67904|67961|67950|67901|67908,,7409,7089,320
fffaaa8a-5a45-44b4-96e5-dbef23cf8c16,fffaaa8a-5a45-44b4-96e5-dbef23cf8c16,,,32528,32224,304
fffa423e-f574-4204-b67e-438dc0bd92e6,fffa423e-f574-4204-b67e-438dc0bd92e6,,,4687,4475,212
fffa0d3f-3a95-4090-9673-62152232bcf2,fffa0d3f-3a95-4090-9673-62152232bcf2,,,4946,4037,909
